song_name,name,song_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
The Liberty Of Norton Folgate,Madness,54hnadFedIJUZZXcWwMNO8,0,0.394,0.742,11.0,-4.413,1.0,0.0557,0.146,0.0164,0.358,0.594,95.428,audio_features,54hnadFedIJUZZXcWwMNO8,spotify:track:54hnadFedIJUZZXcWwMNO8,https://api.spotify.com/v1/tracks/54hnadFedIJUZZXcWwMNO8,https://api.spotify.com/v1/audio-analysis/54hnadFedIJUZZXcWwMNO8,611853.0,4.0
1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,58,0.866,0.73,5.0,-8.201,1.0,0.0767,0.137,0.0,0.0843,0.625,118.523,audio_features,2H7PHVdQ3mXqEHXcvclTB0,spotify:track:2H7PHVdQ3mXqEHXcvclTB0,https://api.spotify.com/v1/tracks/2H7PHVdQ3mXqEHXcvclTB0,https://api.spotify.com/v1/audio-analysis/2H7PHVdQ3mXqEHXcvclTB0,379267.0,4.0
The Sound of Silence,Simon & Garfunkel,2LkaNhCrNVmcYgXJeLVmsw,0,0.435,0.456,6.0,-10.305,1.0,0.0279,0.136,1.62e-06,0.124,0.529,107.529,audio_features,2LkaNhCrNVmcYgXJeLVmsw,spotify:track:2LkaNhCrNVmcYgXJeLVmsw,https://api.spotify.com/v1/tracks/2LkaNhCrNVmcYgXJeLVmsw,https://api.spotify.com/v1/audio-analysis/2LkaNhCrNVmcYgXJeLVmsw,185440.0,4.0
All the Young Dudes,Mott The Hoople,0WNGPpmWqzPnk0psUhJ3SX,61,0.429,0.668,4.0,-7.539,0.0,0.044,0.208,0.0,0.538,0.398,77.737,audio_features,0WNGPpmWqzPnk0psUhJ3SX,spotify:track:0WNGPpmWqzPnk0psUhJ3SX,https://api.spotify.com/v1/tracks/0WNGPpmWqzPnk0psUhJ3SX,https://api.spotify.com/v1/audio-analysis/0WNGPpmWqzPnk0psUhJ3SX,211067.0,4.0
What A Wonderful World,Louis Armstrong,6Z5XZ8fjmWGbkdahOgreVe,0,0.273,0.373,5.0,-9.989,1.0,0.0341,0.848,0.000241,0.188,0.147,77.591,audio_features,6Z5XZ8fjmWGbkdahOgreVe,spotify:track:6Z5XZ8fjmWGbkdahOgreVe,https://api.spotify.com/v1/tracks/6Z5XZ8fjmWGbkdahOgreVe,https://api.spotify.com/v1/audio-analysis/6Z5XZ8fjmWGbkdahOgreVe,137467.0,4.0
How Soon Is Now? - 2008 Remaster,The Smiths,5gXlabehojXdqcfFN8ncey,47,0.55,0.941,1.0,-5.721,0.0,0.0413,0.000872,0.0854,0.101,0.746,95.409,audio_features,5gXlabehojXdqcfFN8ncey,spotify:track:5gXlabehojXdqcfFN8ncey,https://api.spotify.com/v1/tracks/5gXlabehojXdqcfFN8ncey,https://api.spotify.com/v1/audio-analysis/5gXlabehojXdqcfFN8ncey,406987.0,4.0
God Only Knows - Mono,The Beach Boys,6iGU74CwXuT4XVepjc9Emf,62,0.524,0.487,6.0,-7.525,0.0,0.0299,0.253,0.0,0.0579,0.482,117.108,audio_features,6iGU74CwXuT4XVepjc9Emf,spotify:track:6iGU74CwXuT4XVepjc9Emf,https://api.spotify.com/v1/tracks/6iGU74CwXuT4XVepjc9Emf,https://api.spotify.com/v1/audio-analysis/6iGU74CwXuT4XVepjc9Emf,173040.0,4.0
Glam Rock Cops,Carter The Unstoppable Sex Machine,2dDYvf337nhZ4Yn219MPIQ,0,0.55,0.811,2.0,-7.383,1.0,0.0588,0.00852,5.84e-05,0.203,0.297,123.952,audio_features,2dDYvf337nhZ4Yn219MPIQ,spotify:track:2dDYvf337nhZ4Yn219MPIQ,https://api.spotify.com/v1/tracks/2dDYvf337nhZ4Yn219MPIQ,https://api.spotify.com/v1/audio-analysis/2dDYvf337nhZ4Yn219MPIQ,221240.0,4.0
The Age Of The Understatement,The Last Shadow Puppets,5WXMS6w7Gvb02b6bx4eBSF,52,0.383,0.868,11.0,-6.222,0.0,0.0847,0.00114,3.51e-06,0.353,0.546,147.267,audio_features,5WXMS6w7Gvb02b6bx4eBSF,spotify:track:5WXMS6w7Gvb02b6bx4eBSF,https://api.spotify.com/v1/tracks/5WXMS6w7Gvb02b6bx4eBSF,https://api.spotify.com/v1/audio-analysis/5WXMS6w7Gvb02b6bx4eBSF,189560.0,4.0
The Age Of The Understatement,Alex Turner,5WXMS6w7Gvb02b6bx4eBSF,52,0.383,0.868,11.0,-6.222,0.0,0.0847,0.00114,3.51e-06,0.353,0.546,147.267,audio_features,5WXMS6w7Gvb02b6bx4eBSF,spotify:track:5WXMS6w7Gvb02b6bx4eBSF,https://api.spotify.com/v1/tracks/5WXMS6w7Gvb02b6bx4eBSF,https://api.spotify.com/v1/audio-analysis/5WXMS6w7Gvb02b6bx4eBSF,189560.0,4.0
